Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
MultiKrum,95.28,97.9,81.07,88.05,0.74,6.67,robust,1,0.2,20,,642.13
MultiKrum,95.51,98.95,80.59,87.87,0.67,6.4,robust,2,0.2,20,,652.35
FedAvg,92.88,70.28,61.19,64.99,2.63,3.02,main,6,0.0,100,,3182.43
Median,0.62,0.24,3.38,0.25,15.95,99.23,robust,0,0.9,20,,603.3
DyF-ZTL_decay_factor=0.1,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,decay_factor=0.1,831.65
Median,94.41,87.04,83.27,82.69,1.68,4.17,robust,1,0.2,20,,654.74
Median,95.44,98.83,80.03,87.43,0.69,6.53,robust,2,0.2,20,,668.03
TrimmedMean,0.61,0.19,3.46,0.24,15.96,99.2,robust,0,0.9,20,,624.23
TrimmedMean,93.73,83.04,86.05,76.63,2.09,3.71,robust,1,0.2,20,,666.94
TrimmedMean,95.42,98.89,80.42,87.84,0.7,6.56,robust,2,0.2,20,,678.67
DyF-ZTL_decay_factor=0.4,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,decay_factor=0.4,856.04
FLTrust,94.83,87.71,81.66,84.24,1.15,5.65,robust,0,0.9,20,,628.87
FLTrust,95.78,96.0,81.95,87.82,0.74,5.57,robust,1,0.2,20,,668.14
FLTrust,95.99,97.46,82.18,88.53,0.65,5.57,robust,2,0.2,20,,679.99
FLTrust,95.78,96.0,81.95,87.82,0.74,5.57,robust,1,0.2,20,,668.36
DyF-ZTL_decay_factor=0.8,96.36,94.74,84.89,89.14,0.66,4.64,sensitivity,0,0.4,20,decay_factor=0.8,855.76
FedAvg,92.82,76.0,76.33,72.35,2.37,3.82,robust,1,0.3,20,,665.27
FedAvg,95.1,96.42,80.42,86.49,0.8,6.4,robust,2,0.3,20,,678.97
FedAvg,92.82,76.0,76.33,72.35,2.37,3.82,robust,1,0.3,20,,682.54
DyF-ZTL_low_gate=0.6,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,low_gate=0.6,898.18
FedProx,94.43,90.18,81.89,84.78,1.14,6.29,robust,1,0.3,20,,1088.43
FedProx,95.08,94.15,81.84,86.95,0.86,6.04,robust,2,0.3,20,,1117.58
FedProx,94.43,90.18,81.89,84.78,1.14,6.29,robust,1,0.3,20,,1102.74
DyF-ZTL_low_gate=0.8,96.17,95.98,83.68,89.0,0.66,5.08,sensitivity,0,0.4,20,low_gate=0.8,942.14
DyF-ZTL,95.78,93.11,83.14,87.08,0.87,4.97,robust,1,0.3,20,,985.5
DyF-ZTL,96.23,97.61,83.82,89.58,0.61,5.22,robust,2,0.3,20,,995.2
DyF-ZTL,95.78,93.11,83.14,87.08,0.87,4.97,robust,1,0.3,20,,965.99
DyF-ZTL_high_gate=0.8,92.92,81.52,87.19,81.93,2.58,3.21,sensitivity,0,0.4,20,high_gate=0.8,911.47
FedProx,96.48,94.73,87.31,90.12,0.68,4.42,main,6,0.0,100,,4910.82
Krum,94.89,97.07,79.02,86.14,0.85,6.92,robust,1,0.3,20,,675.93
Krum,94.55,90.16,80.49,83.54,1.1,6.2,robust,2,0.3,20,,675.89
Krum,94.89,97.07,79.02,86.14,0.85,6.92,robust,1,0.3,20,,657.8
DyF-ZTL_high_gate=0.9,96.27,93.02,85.56,88.89,0.75,4.47,sensitivity,0,0.4,20,high_gate=0.9,846.36
MultiKrum,79.34,81.5,64.58,66.6,3.29,19.24,robust,1,0.3,20,,656.32
MultiKrum,95.61,96.22,82.27,88.2,0.72,5.85,robust,2,0.3,20,,668.15
MultiKrum,79.34,81.5,64.58,66.6,3.29,19.24,robust,1,0.3,20,,656.73
Median,86.84,81.58,76.97,68.93,2.4,4.97,robust,1,0.3,20,,657.76
DyF-ZTL_warmup_rounds=0,96.27,95.88,84.42,89.47,0.67,4.89,sensitivity,0,0.4,20,warmup_rounds=0,848.66
Median,95.63,97.25,82.58,88.53,0.72,6.07,robust,2,0.3,20,,668.19
Median,86.84,81.58,76.97,68.93,2.4,4.97,robust,1,0.3,20,,653.5
TrimmedMean,94.58,85.56,83.65,82.73,1.55,4.25,robust,1,0.3,20,,656.88
TrimmedMean,95.93,98.03,82.13,88.58,0.65,5.63,robust,2,0.3,20,,667.66
DyF-ZTL_warmup_rounds=4,96.25,94.02,85.19,88.98,0.73,4.64,sensitivity,0,0.4,20,warmup_rounds=4,847.05
TrimmedMean,94.58,85.56,83.65,82.73,1.55,4.25,robust,1,0.3,20,,653.89
FLTrust,95.93,97.79,81.68,88.22,0.69,5.49,robust,1,0.3,20,,659.12
FLTrust,95.97,98.11,81.98,88.63,0.64,5.68,robust,2,0.3,20,,670.31
FLTrust,95.93,97.79,81.68,88.22,0.69,5.49,robust,1,0.3,20,,656.47
